statistic,player,team,value,year
Triples,Carl Crawford,Tampa Bay,19,2004
Complete Games,Mark Mulder,Oakland,5,2004
Complete Games,Sidney Ponson,Baltimore,5,2004
Complete Games,Jake Westbrook,Cleveland,5,2004
ERA,Johan Santana,Minnesota,2.61,2004
Games,Paul Quantrill,New York,86,2004
Saves,Mariano Rivera,New York,53,2004
Shutouts,Jeremy Bonderman,Detroit,2,2004
Shutouts,Tim Hudson,Oakland,2,2004
Shutouts,Sidney Ponson,Baltimore,2,2004
Strikeouts,Johan Santana,Minnesota,265,2004
Winning Percentage,Curt Schilling,Boston,.778,2004
Wins,Curt Schilling,Boston,21,2004
Base on Balls,Jason Giambi,New York,108,2005
Batting Average,Michael Young,Texas,.331,2005
Doubles,Miguel Tejada,Baltimore,50,2005
Hits,Michael Young,Texas,221,2005
Home Runs,Alex Rodriguez,New York,48,2005
On Base Percentage,Jason Giambi,New York,.440,2005
RBI,David Ortiz,Boston,148,2005
Runs,Alex Rodriguez,New York,124,2005
Slugging Average,Alex Rodriguez,New York,.610,2005
Stolen Bases,Chone Figgins,Los Angeles,62,2005
Total Bases,Mark Teixeira,Texas,370,2005
Triples,Carl Crawford,Tampa Bay,15,2005
Complete Games,Roy Halladay,Toronto,5,2005
ERA,Kevin Millwood,Cleveland,2.86,2005
Games,Mike Timlin,Boston,81,2005
Saves,Francisco Rodriguez,Los Angeles,45,2005
Saves,Bob Wickman,Cleveland,45,2005
Shutouts,Jon Garland,Chicago,3,2005
Strikeouts,Johan Santana,Minnesota,238,2005
Winning Percentage,Cliff Lee,Cleveland,.783,2005
Wins,Bartolo Colon,Los Angeles,21,2005
Base on Balls,David Ortiz,Boston,119,2006
Batting Average,Joe Mauer,Minnesota,.347,2006
Doubles,Grady Sizemore,Cleveland,53,2006
Hits,Ichiro Suzuki,Seattle,224,2006
Home Runs,David Ortiz,Boston,54,2006
On Base Percentage,Manny Ramirez,Boston,.439,2006
RBI,David Ortiz,Boston,137,2006
Runs,Grady Sizemore,Cleveland,134,2006
Slugging Average,Travis Hafner,Cleveland,.659,2006
Stolen Bases,Carl Crawford,Tampa Bay,58,2006
Total Bases,David Ortiz,Boston,355,2006
Triples,Carl Crawford,Tampa Bay,16,2006
Complete Games,CC Sabathia,Cleveland,6,2006
ERA,Johan Santana,Minnesota,2.77,2006
Games,Scott Proctor,New York,83,2006
Saves,Francisco Rodriguez,Los Angeles,47,2006
Shutouts,John Lackey,Los Angeles,2,2006
Shutouts,CC Sabathia,Cleveland,2,2006
Shutouts,Jeremy Sowers,Cleveland,2,2006
Shutouts,Jake Westbrook,Cleveland,2,2006
Strikeouts,Johan Santana,Minnesota,245,2006
Winning Percentage,Roy Halladay,Toronto,.762,2006
Wins,Johan Santana,Minnesota,19,2006
Wins,Chien-Ming Wang,New York,19,2006
Base on Balls,David Ortiz,Boston,111,2007
Batting Average,Magglio Ordonez,Detroit,.363,2007
Doubles,Magglio Ordonez,Detroit,54,2007
Hits,Ichiro Suzuki,Seattle,238,2007
Home Runs,Alex Rodriguez,New York,54,2007
On Base Percentage,David Ortiz,Boston,.445,2007
RBI,Alex Rodriguez,New York,156,2007
Runs,Alex Rodriguez,New York,143,2007
Slugging Average,Alex Rodriguez,New York,.645,2007
Stolen Bases,Carl Crawford,Tampa Bay,50,2007
Stolen Bases,Brian Roberts,Baltimore,50,2007
Total Bases,Alex Rodriguez,New York,376,2007
Triples,Curtis Granderson,Detroit,23,2007
Complete Games,Roy Halladay,Toronto,7,2007
ERA,John Lackey,Los Angeles,3.01,2007
Games,Jamie Walker,Baltimore,81,2007
Saves,Joe Borowski,Cleveland,45,2007
Shutouts,Paul Byrd,Cleveland,2,2007
Shutouts,Jose Contreras,Chicago,2,2007
Shutouts,John Lackey,Cleveland,2,2007
Shutouts,Jeff Weaver,Seattle,2,2007
Strikeouts,Scott Kazmir,Tampa Bay,239,2007
Winning Percentage,Justin Verlander,Detroit,.762,2007
Wins,Josh Beckett,Boston,20,2007
Base on Balls,Jack Cust,Oakland,111,2008
