statistic,player,team,value,year
1997 American League Pitcher Review ← 1996 | 1997 Pitching Statistics League Leaders | 1998 →,1997 American League Pitcher Review ← 1996 | 1997 Pitching Statistics League Leaders | 1998 →,1997 American League Pitcher Review ← 1996 | 1997 Pitching Statistics League Leaders | 1998 →,1997 American League Pitcher Review ← 1996 | 1997 Pitching Statistics League Leaders | 1998 →,1997
Statistic,Name,Team,#,1997
Complete Games,Roger Clemens,Toronto,9,1997
Complete Games,Pat Hentgen,Toronto,9,1997
ERA,Roger Clemens,Toronto,2.05,1997
Games,Mike Myers,Detroit,88,1997
Saves,Randy Myers,Baltimore,45,1997
Shutouts,Roger Clemens,Toronto,3,1997
Shutouts,Pat Hentgen,Toronto,3,1997
Strikeouts,Roger Clemens,Toronto,292,1997
Winning Percentage,Randy Johnson,Seattle,.833,1997
Wins,Roger Clemens,Toronto,21,1997
Statistic,Name,Team,#,1997
1997 American League Team Standings,1997 American League Team Standings,1997 American League Team Standings,1997 American League Team Standings,1997
East,Team | Roster,Wins,Losses,1997
East,Baltimore Orioles,98,64,1997
East,New York Yankees,96,66,1997
East,Detroit Tigers,79,83,1997
East,Boston Red Sox,78,84,1997
East,Toronto Blue Jays,76,86,1997
Central,Team | Roster,Wins,Losses,1997
Central,Cleveland Indians,86,75,1997
Central,Chicago White Sox,80,81,1997
Central,Milwaukee Brewers,78,83,1997
Central,Minnesota Twins,68,94,1997
Central,Kansas City Royals,67,94,1997
West,Team | Roster,Wins,Losses,1997
West,Seattle Mariners,90,72,1997
West,Anaheim Angels,84,78,1997
West,Texas Rangers,77,85,1997
West,Oakland Athletics,65,97,1997
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1997
1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998
Statistic,Name,Team,#,1998
Base on Balls,Rickey Henderson,Oakland,118,1998
Batting Average,Bernie Williams,New York,.339,1998
Doubles,Juan Gonzalez,Texas,50,1998
Hits,Alex Rodriguez,Seattle,213,1998
Home Runs,"Ken Griffey, Jr.",Seattle,56,1998
On Base Percentage,Edgar Martinez,Seattle,.433,1998
RBI,Juan Gonzalez,Texas,157,1998
Runs,Derek Jeter,New York,127,1998
Slugging Average,Albert Belle,Chicago,.655,1998
Stolen Bases,Rickey Henderson,Oakland,66,1998
Total Bases,Albert Belle,Chicago,399,1998
Triples,Jose Offerman,Kansas City,13,1998
Statistic,Name,Team,#,1998
1998 American League Pitcher Review ← 1997 | 1998 Pitching Statistics League Leaders | 1999 →,1998 American League Pitcher Review ← 1997 | 1998 Pitching Statistics League Leaders | 1999 →,1998 American League Pitcher Review ← 1997 | 1998 Pitching Statistics League Leaders | 1999 →,1998 American League Pitcher Review ← 1997 | 1998 Pitching Statistics League Leaders | 1999 →,1998
Statistic,Name,Team,#,1998
Complete Games,Scott Erickson,Baltimore,11,1998
ERA,Roger Clemens,Toronto,2.65,1998
Games,Sean Runyan,Detroit,88,1998
Saves,Tom Gordon,Boston,46,1998
Shutouts,David Wells,New York,5,1998
Strikeouts,Roger Clemens,Toronto,271,1998
Winning Percentage,David Wells,New York,.818,1998
Wins,Roger Clemens,Toronto,20,1998
Wins,David Cone,New York,20,1998
Wins,Rick Helling,Texas,20,1998
Statistic,Name,Team,#,1998
1998 American League Team Standings,1998 American League Team Standings,1998 American League Team Standings,1998 American League Team Standings,1998
East,Team [Click for roster],Wins,Losses,1998
East,New York Yankees,114,48,1998
East,Boston Red Sox,92,70,1998
East,Toronto Blue Jays,88,74,1998
East,Baltimore Orioles,79,83,1998
East,Tampa Bay Devil Rays,63,99,1998
Central,Team [Click for roster],Wins,Losses,1998
Central,Cleveland Indians,89,73,1998
Central,Chicago White Sox,80,82,1998
Central,Kansas City Royals,72,89,1998
Central,Minnesota Twins,70,92,1998
Central,Detroit Tigers,65,97,1998
West,Team [Click for roster],Wins,Losses,1998
West,Texas Rangers,88,74,1998
West,Anaheim Angels,85,77,1998
West,Seattle Mariners,76,85,1998
West,Oakland Athletics,74,88,1998
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1998
1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999
Statistic,Name,Team,#,1999
Base on Balls,Jim Thome,Cleveland,127,1999
Batting Average,Nomar Garciaparra,Boston,.357,1999
Doubles,Shawn Green,Toronto,45,1999
Hits,Derek Jeter,New York,219,1999
Home Runs,"Ken Griffey, Jr.",Seattle,48,1999
On Base Percentage,Edgar Martinez,Seattle,.447,1999
RBI,Manny Ramirez,Cleveland,165,1999
Runs,Roberto Alomar,Cleveland,138,1999
